File,Precision,Recall,Execution time (s)
d_r_58_.jpg,0.98,0.96,7.9
f_r_1892_.jpg,0.57,1.0,3.9
w_r_30_.jpg,0.96,0.95,3.74
w_r_43_.jpg,0.93,1.0,3.72
n_l_15_.jpg,0.0,0.0,3.8
w_r_10_.jpg,0.87,1.0,3.78
d_r_129_.jpg,0.0,0.0,3.6
d_r_598_.jpg,0.98,0.91,3.73
d_r_233_.jpg,0.97,0.97,3.71
f_r_1229_.jpg,1.0,0.45,3.77
d_r_182_.jpg,0.88,1.0,3.75
f_r_93_.jpg,0.0,0.0,3.73
f_r_1033_.jpg,0.0,0.0,3.73
d_r_47_.jpg,0.99,0.83,3.64
f_r_1452_.jpg,0.92,1.0,3.74
f_r_246_.jpg,0.88,0.99,3.69
f_r_1428_.jpg,0.0,0.0,3.77
w_r_22_.jpg,0.83,1.0,3.75
d_r_144_.jpg,0.0,0.0,3.6
f_r_644_.jpg,0.0,0.0,3.75
f_r_1948_.jpg,0.74,0.92,3.67
d_r_386_.jpg,0.89,0.77,3.93
f_r_721_.jpg,1.0,0.96,3.68
d_r_196_.jpg,0.56,0.24,3.86
d_r_166_.jpg,0.99,0.9,3.88
f_r_403_.jpg,0.0,0.0,3.64
f_r_106_.jpg,0.89,1.0,3.82
n_l_79_.jpg,0.0,0.0,3.58
n_l_18_.jpg,0.9,1.0,3.83
f_r_1220_.jpg,0.92,0.94,3.55
f_r_214_.jpg,1.0,0.48,3.73
d_r_84_.jpg,0.97,0.99,3.58
d_r_465_.jpg,0.99,0.42,3.51
n_l_48_.jpg,0.89,1.0,3.65
f_r_1471_.jpg,0.0,0.0,3.54
f_r_1319_.jpg,0.0,0.0,3.59
w_r_6_.jpg,0.86,1.0,3.52
w_r_84_.jpg,0.99,0.83,3.56
f_r_1737_.jpg,0.92,0.99,3.68
f_r_263_.jpg,1.0,0.99,3.61
f_r_54_.jpg,0.87,0.94,3.67
w_r_157_.jpg,0.0,0.0,3.57
f_r_1410_.jpg,0.94,0.97,3.57
w_r_147_.jpg,0.89,1.0,3.61
n_l_87_.jpg,0.89,1.0,3.63
w_r_4_.jpg,0.85,0.93,3.62
f_r_478_.jpg,0.94,0.94,3.6
f_r_1467_.jpg,0.78,1.0,3.62
n_l_100_.jpg,0.98,0.93,3.55
f_r_2052_.jpg,0.59,1.0,3.55
f_r_1461_.jpg,1.0,0.35,3.56
n_l_102_.jpg,0.93,1.0,3.56
d_r_277_.jpg,0.83,0.99,3.92
f_r_13_.jpg,0.98,1.0,3.66
w_r_14_.jpg,0.98,1.0,3.6
f_r_446_.jpg,0.93,1.0,3.58
f_r_1340_.jpg,0.69,1.0,3.69
w_r_150_.jpg,0.98,0.89,3.63
d_r_345_.jpg,0.96,0.96,3.48
d_r_384_.jpg,0.99,1.0,3.7
f_r_392_.jpg,0.0,1.0,3.6
f_r_1298_.jpg,0.95,0.98,3.55
w_r_111_.jpg,0.96,1.0,3.59
n_l_26_.jpg,0.89,0.87,3.65
w_r_201_.jpg,0.89,0.99,3.61
f_r_1059_.jpg,0.93,0.86,3.52
f_r_604_.jpg,1.0,0.96,3.53
n_l_3_.jpg,0.0,0.0,3.6
n_l_84_.jpg,0.96,1.0,3.62
d_r_602_.jpg,0.98,0.3,3.77
d_r_635_.jpg,0.69,0.99,3.54
f_r_24_.jpg,1.0,0.91,3.6
f_r_1965_.jpg,0.98,0.98,3.65
f_r_1920_.jpg,0.95,1.0,3.62
f_r_1782_.jpg,0.97,0.99,3.62
d_r_300_.jpg,0.99,0.68,3.8
f_r_1282_.jpg,0.96,1.0,3.58
n_l_12_.jpg,0.98,0.79,3.52
w_r_217_.jpg,1.0,0.9,3.57
f_r_1303_.jpg,0.99,0.99,3.61
f_r_1276_.jpg,0.94,0.99,3.53
n_l_52_.jpg,0.99,0.58,3.59
w_r_116_.jpg,0.99,0.82,3.61
d_r_122_.jpg,0.93,0.97,3.75
w_r_109_.jpg,0.87,1.0,3.69
w_r_101_.jpg,0.0,0.0,3.76
w_r_50_.jpg,0.95,0.99,3.6
f_r_1165_.jpg,0.95,1.0,3.47
d_r_379_.jpg,1.0,0.49,3.83
w_r_3_.jpg,0.79,0.98,3.61
w_r_199_.jpg,0.99,0.81,3.59
d_r_552_.jpg,1.0,0.86,3.89
w_r_59_.jpg,0.99,0.65,3.56
f_r_1079_.jpg,0.98,1.0,3.58
f_r_329_.jpg,0.94,1.0,3.61
f_r_1644_.jpg,0.0,0.0,3.61
f_r_1800_.jpg,0.91,0.99,3.64
f_r_1435_.jpg,1.0,0.41,3.57
f_r_1931_.jpg,0.0,0.0,3.63
f_r_209_.jpg,0.98,0.98,3.59
f_r_1440_.jpg,0.0,0.0,3.57
n_l_44_.jpg,0.95,0.95,3.73
n_l_0_.jpg,0.97,0.89,3.6
f_r_1199_.jpg,0.89,0.99,3.6
d_r_547_.jpg,1.0,0.94,3.75
d_r_801_.jpg,0.98,0.93,3.54
n_l_29_.jpg,0.79,0.53,3.79
f_r_1450_.jpg,0.76,0.97,3.63
f_r_1992_.jpg,0.98,0.41,3.62
f_r_1478_.jpg,0.98,0.48,3.56
Mean,0.77,0.75,3.69
Median,0.93,0.95,3.62
