File,Precision,Recall,Execution time (s)
d_r_58_.jpg,0.28,0.01,1.3
f_r_1892_.jpg,0.51,1.0,1.84
w_r_30_.jpg,0.97,0.9,1.04
w_r_43_.jpg,0.77,0.9,1.06
n_l_15_.jpg,0.0,0.0,1.09
w_r_10_.jpg,0.79,0.6,1.01
d_r_129_.jpg,0.0,0.0,1.08
d_r_598_.jpg,0.86,0.68,1.07
d_r_233_.jpg,0.87,0.98,1.07
f_r_1229_.jpg,0.99,0.6,1.02
d_r_182_.jpg,0.39,0.11,1.05
f_r_93_.jpg,0.0,0.0,1.08
f_r_1033_.jpg,0.0,0.0,1.09
d_r_47_.jpg,0.96,0.83,0.69
f_r_1452_.jpg,0.87,0.85,1.04
f_r_246_.jpg,0.63,0.31,1.06
f_r_1428_.jpg,0.0,0.0,1.06
w_r_22_.jpg,0.93,0.94,1.05
d_r_144_.jpg,0.0,0.0,1.09
f_r_644_.jpg,0.0,0.0,1.06
f_r_1948_.jpg,0.0,0.0,1.1
d_r_386_.jpg,0.17,0.01,1.89
f_r_721_.jpg,0.0,0.0,1.0
d_r_196_.jpg,0.0,0.0,1.83
d_r_166_.jpg,0.98,0.62,2.37
f_r_403_.jpg,0.0,0.0,1.07
f_r_106_.jpg,0.77,1.0,1.86
n_l_79_.jpg,0.0,0.0,1.07
n_l_18_.jpg,0.9,0.25,1.83
f_r_1220_.jpg,1.0,0.17,1.01
f_r_214_.jpg,1.0,0.07,1.04
d_r_84_.jpg,0.89,0.96,1.05
d_r_465_.jpg,0.98,0.52,0.72
n_l_48_.jpg,0.84,0.99,1.01
f_r_1471_.jpg,0.0,0.0,1.05
f_r_1319_.jpg,0.0,0.0,1.09
w_r_6_.jpg,0.0,0.0,1.02
w_r_84_.jpg,0.94,0.35,1.03
f_r_1737_.jpg,0.69,1.0,1.06
f_r_263_.jpg,0.99,0.99,1.07
f_r_54_.jpg,0.82,0.23,1.08
w_r_157_.jpg,0.0,0.0,1.05
f_r_1410_.jpg,0.98,0.47,1.06
w_r_147_.jpg,0.0,0.0,1.06
n_l_87_.jpg,0.95,0.35,1.06
w_r_4_.jpg,0.63,0.95,1.07
f_r_478_.jpg,0.89,0.13,1.06
f_r_1467_.jpg,0.72,1.0,1.05
n_l_100_.jpg,0.78,0.58,1.02
f_r_2052_.jpg,0.52,0.9,1.04
f_r_1461_.jpg,0.9,1.0,1.05
n_l_102_.jpg,0.0,0.0,1.03
d_r_277_.jpg,0.28,1.0,6.13
f_r_13_.jpg,0.0,0.0,1.03
w_r_14_.jpg,0.6,0.74,1.04
f_r_446_.jpg,0.91,0.18,1.09
f_r_1340_.jpg,0.55,0.95,1.06
w_r_150_.jpg,0.83,0.82,1.04
d_r_345_.jpg,0.63,0.87,0.84
d_r_384_.jpg,0.96,0.82,2.05
f_r_392_.jpg,0.0,0.0,1.06
f_r_1298_.jpg,0.91,0.97,1.11
w_r_111_.jpg,0.89,0.52,1.03
n_l_26_.jpg,0.9,0.7,1.07
w_r_201_.jpg,0.62,0.99,1.06
f_r_1059_.jpg,0.9,0.95,1.07
f_r_604_.jpg,0.93,0.37,1.06
n_l_3_.jpg,0.0,0.0,1.06
n_l_84_.jpg,0.92,0.91,1.05
d_r_602_.jpg,0.0,0.0,1.77
d_r_635_.jpg,0.58,1.0,1.02
f_r_24_.jpg,1.0,0.27,1.03
f_r_1965_.jpg,0.84,1.0,1.02
f_r_1920_.jpg,0.68,0.85,1.04
f_r_1782_.jpg,0.92,0.62,1.04
d_r_300_.jpg,0.99,0.81,2.3
f_r_1282_.jpg,0.0,0.0,1.05
n_l_12_.jpg,0.93,0.2,1.02
w_r_217_.jpg,1.0,0.72,1.03
f_r_1303_.jpg,0.4,0.37,1.02
f_r_1276_.jpg,0.71,0.96,1.06
n_l_52_.jpg,0.0,0.0,1.03
w_r_116_.jpg,0.99,0.4,1.01
d_r_122_.jpg,0.85,0.11,1.85
w_r_109_.jpg,0.98,0.33,1.04
w_r_101_.jpg,0.0,0.0,1.05
w_r_50_.jpg,0.75,1.0,1.02
f_r_1165_.jpg,0.98,0.69,1.02
d_r_379_.jpg,0.0,0.0,1.71
w_r_3_.jpg,0.91,0.45,1.07
w_r_199_.jpg,0.94,0.77,1.05
d_r_552_.jpg,0.95,0.46,2.38
w_r_59_.jpg,0.98,0.38,1.01
f_r_1079_.jpg,0.97,0.99,1.08
f_r_329_.jpg,0.75,1.0,1.04
f_r_1644_.jpg,0.0,0.0,1.08
f_r_1800_.jpg,0.85,0.14,1.05
f_r_1435_.jpg,0.0,0.0,1.03
f_r_1931_.jpg,0.0,0.0,1.06
f_r_209_.jpg,0.93,0.99,1.06
f_r_1440_.jpg,0.0,0.0,1.08
n_l_44_.jpg,0.89,1.0,1.01
n_l_0_.jpg,0.94,0.99,1.03
f_r_1199_.jpg,0.8,0.56,1.03
d_r_547_.jpg,0.89,1.0,0.74
d_r_801_.jpg,0.97,0.92,1.06
n_l_29_.jpg,0.0,0.0,1.79
f_r_1450_.jpg,0.97,0.67,1.09
f_r_1992_.jpg,1.0,0.1,1.06
f_r_1478_.jpg,0.0,0.0,1.11
Mean,0.58,0.47,1.2
Median,0.78,0.46,1.06
